league_id,name,country,sport,season,slug,raw.league_key,raw.league_name,raw.country_key,raw.country_name,raw.league_logo,raw.country_logo
692,Supercopa MX,Mexico,,,,692,Supercopa MX,78,Mexico,,https://apiv2.allsportsapi.com/logo/logo_country/78_mexico.png
694,Liga Premier Serie B,Mexico,,,,694,Liga Premier Serie B,78,Mexico,,https://apiv2.allsportsapi.com/logo/logo_country/78_mexico.png
695,Coppa Italia Serie D,Italy,,,,695,Coppa Italia Serie D,5,Italy,,https://apiv2.allsportsapi.com/logo/logo_country/5_italy.png
696,Copa Paulino Alcantara,Philippines,,,,696,Copa Paulino Alcantara,165,Philippines,,https://apiv2.allsportsapi.com/logo/logo_country/165_philippines.png
697,U20 League,Mexico,,,,697,U20 League,78,Mexico,,https://apiv2.allsportsapi.com/logo/logo_country/78_mexico.png
699,Liga 3,Portugal,,,,699,Liga 3,92,Portugal,,https://apiv2.allsportsapi.com/logo/logo_country/92_portugal.png
700,Segunda División RFEF,Spain,,,,700,Segunda División RFEF,6,Spain,,https://apiv2.allsportsapi.com/logo/logo_country/6_spain.png
701,Second Division A,Egypt,,,,701,Second Division A,42,Egypt,,https://apiv2.allsportsapi.com/logo/logo_country/42_egypt.png
703,AFC U23 Asian Cup Qualification,intl,,,,703,AFC U23 Asian Cup Qualification,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
704,Women's WC Qualification Europe,Worldcup,,,,704,Women's WC Qualification Europe,8,Worldcup,,https://apiv2.allsportsapi.com/logo/logo_country/8_worldcup.png
706,UEFA U17 Championship Qualification,intl,,,,706,UEFA U17 Championship Qualification,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
707,UEFA U19 Championship Qualification,eurocups,,,,707,UEFA U19 Championship Qualification,1,eurocups,,
710,Copa Perú,Peru,,,,710,Copa Perú,90,Peru,,https://apiv2.allsportsapi.com/logo/logo_country/90_peru.png
713,Australia Cup,Australia,,,,713,Australia Cup,17,Australia,,https://apiv2.allsportsapi.com/logo/logo_country/17_australia.png
714,CECAFA Club Cup,intl,,,,714,CECAFA Club Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
716,Premier League Cup,England,,,,716,Premier League Cup,44,England,,https://apiv2.allsportsapi.com/logo/logo_country/44_england.png
717,Women's Asian Cup Qualification,Worldcup,,,,717,Women's Asian Cup Qualification,8,Worldcup,,https://apiv2.allsportsapi.com/logo/logo_country/8_worldcup.png
718,Thai Champions Cup,Thailand,,,,718,Thai Champions Cup,108,Thailand,,https://apiv2.allsportsapi.com/logo/logo_country/108_thailand.png
719,U20 Elite League,eurocups,,,,719,U20 Elite League,1,eurocups,,
720,Coppa Italia Serie C,Italy,,,,720,Coppa Italia Serie C,5,Italy,,https://apiv2.allsportsapi.com/logo/logo_country/5_italy.png
722,MLS All-Star,USA,,,,722,MLS All-Star,114,USA,,https://apiv2.allsportsapi.com/logo/logo_country/114_usa.png
723,Campeones Cup,intl,,,,723,Campeones Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
5494,Brasileiro Women,Brazil,,,,5494,Brasileiro Women,27,Brazil,,https://apiv2.allsportsapi.com/logo/logo_country/27_brazil.png
7090,The Atlantic Cup,intl,,,,7090,The Atlantic Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
7093,Tipsport Malta Cup,intl,,,,7093,Tipsport Malta Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
7094,Ykköscup,Finland,,,,7094,Ykköscup,48,Finland,,https://apiv2.allsportsapi.com/logo/logo_country/48_finland.png
7096,Torneo Proyección,Argentina,,,,7096,Torneo Proyección,14,Argentina,,https://apiv2.allsportsapi.com/logo/logo_country/14_argentina.png
7097,MLS Next Pro,USA,,,,7097,MLS Next Pro,114,USA,,https://apiv2.allsportsapi.com/logo/logo_country/114_usa.png
7098,Africa Cup of Nations Qualification,intl,,,,7098,Africa Cup of Nations Qualification,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
7099,UEFA U17 Championship,intl,,,,7099,UEFA U17 Championship,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
7101,Youth Viareggio Cup,intl,,,,7101,Youth Viareggio Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
7102,Algarve Cup,intl,,,,7102,Algarve Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
7104,Concacaf Women's U17,intl,,,,7104,Concacaf Women's U17,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
7105,AFC Women's Asian Cup,intl,,,,7105,AFC Women's Asian Cup,2,intl,,https://apiv2.allsportsapi.com/logo/logo_country/2_intl.png
